CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250044770,SIMPLE ASSAULT,Violent,12/3/2025 11:47 下午,,18000 THUNDERBOLT RD,Arrest,11826776.23,6888779.029
PD250044741,SIMPLE ASSAULT,Violent,12/3/2025 10:10 下午,,17000 OLD STAGE RD,Inactive,11818090.66,6897409.854
PD250044714,SIMPLE ASSAULT,Violent,12/3/2025 8:40 下午,,13000 PINETREE DR,Active,11833227.78,6927035.803
PD250044689,MOTOR VEHICLE THEFT,Property,12/3/2025 8:00 下午,12/3/2025 8:15 下午,3000 FOX LAIR DR,Inactive,11824868.8,6902010.034
PD250044719,THEFT FROM MOTOR VEHICLE,Property,12/3/2025 7:45 下午,12/3/2025 9:15 下午,10000 LUTE CT,Active,11761386.3,6976214.937
PD250044728,CREDIT CARD/ATM FRAUD,Property,12/3/2025 7:45 下午,12/3/2025 9:15 下午,10000 COVERSTONE DR,Active,11758895.73,6972414.501
PD250044729,CREDIT CARD/ATM FRAUD,Property,12/3/2025 7:45 下午,12/3/2025 9:15 下午,10000 LUTE CT,Active,11761386.3,6976214.937
PD250044777,AGGRAVATED ASSAULT,Violent,12/3/2025 7:00 下午,12/3/2025 11:00 下午,14000 LATTANY CT,Inactive,11732623.12,6968287.598
PD250045010,ALL OTHER LARCENY,Property,12/3/2025 7:00 下午,,1800 CLARINET CT,Inactive,11834323.74,6918523.586
PD250044632,SHOPLIFTING,Property,12/3/2025 5:16 下午,,17000 RICHMOND HWY,Exception,11823015.25,6897253.401
PD250044652,DRUG/NARCOTIC VIOLATION,Quality of Life,12/3/2025 5:00 下午,,King George Dr / Woodstock St,Inactive,11771119.58,6971647.868
PD250044562,SHOPLIFTING,Property,12/3/2025 3:35 下午,,9900 SOWDER VILLAGE SQ,Active,11758601.1,6953667.565
PD250044602,SHOPLIFTING,Property,12/3/2025 3:33 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250044523,SHOPLIFTING,Property,12/3/2025 2:15 下午,,2400 PRINCE WILLIAM PKWY,Active,11829403.63,6923662.961
PD250044493,AGGRAVATED ASSAULT,Violent,12/3/2025 2:00 下午,,14000 POTOMAC MILLS RD,Inactive,11827370.4,6918526.736
PD250044490,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/3/2025 1:30 下午,,2700 POTOMAC MILLS CIR,Active,11826041.73,6918486.143
PD250045004,WIRE FRAUD,Property,12/3/2025 1:10 下午,,8000 COMMUNITY DR,Inactive,11768351.12,6968164.152
PD250044401,SIMPLE ASSAULT,Violent,12/3/2025 11:30 上午,,1900 STEVENS RD,Arrest,11833908.03,6919354.504
PD250044400,SIMPLE ASSAULT,Violent,12/3/2025 11:20 上午,,12000 PINTAIL RD,Arrest,11825168.88,6928853.887
PD250044307,SIMPLE ASSAULT,Violent,12/3/2025 9:00 上午,,17000 WOODS VIEW DR,Active,11828158.44,6889188.731
PD250044241,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/3/2025 4:52 上午,,9300 LEE AVE,Arrest,11774274.01,6958467.993
PD250044166,DISORDERLY CONDUCT,Quality of Life,12/3/2025 1:50 上午,,14000 POTOMAC MILLS RD,Arrest,11827370.4,6918526.736
PD250044088,AGGRAVATED ASSAULT,Violent,12/2/2025 10:50 下午,,10000 CAMPAIGN CT,Arrest,11760227.39,6971144.037
PD250044557,SHOPLIFTING,Property,12/2/2025 10:38 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250044276,MOTOR VEHICLE THEFT,Property,12/2/2025 9:00 下午,12/3/2025 12:00 上午,14000 POTOMAC HEIGHTS PL,Inactive,11832706.23,6913967.772
PD250044344,MOTOR VEHICLE THEFT,Property,12/2/2025 8:50 下午,12/3/2025 7:12 上午,2900 SHOREHAVEN WAY,Inactive,11825045.06,6897658.139
PD250044477,SHOPLIFTING,Property,12/2/2025 8:30 下午,,10000 SUDLEY MANOR DR,Inactive,11769205.66,6972433.753
PD250044002,SIMPLE ASSAULT,Violent,12/2/2025 7:10 下午,,Richmond Hwy / River Heritage Blvd,Arrest,11823357.76,6897854.84
PD250043999,SHOPLIFTING,Property,12/2/2025 7:08 下午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250043996,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/2/2025 7:00 下午,,Heathcote Blvd / Swainley St,Exception,11733871.29,6980086.448
PD250043972,SHOPLIFTING,Property,12/2/2025 6:13 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043977,SIMPLE ASSAULT,Violent,12/2/2025 6:00 下午,,10000 PORTSMOUTH RD,Active,11768269.79,6969421.395
PD250043988,DRUG/NARCOTIC VIOLATION,Quality of Life,12/2/2025 6:00 下午,,2700 PRINCE WILLIAM PKWY,Arrest,11827027.81,6922495.77
PD250043994,TRESPASS OF REAL PROPERTY,Quality of Life,12/2/2025 5:51 下午,,8200 VERNON ST,Active,11762953.13,6967970.871
PD250043970,SIMPLE ASSAULT,Violent,12/2/2025 5:50 下午,,Hansen Farm Rd / Rr,Active,11749030.57,6969594.785
PD250043952,SHOPLIFTING,Property,12/2/2025 5:20 下午,,14000 DINING WAY,Arrest,11828436.27,6915427.116
PD250044114,MOTOR VEHICLE THEFT,Property,12/2/2025 4:30 下午,12/2/2025 11:00 下午,2700 POTOMAC MILLS CIR,Active,11826041.73,6918486.143
PD250044502,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,12/2/2025 4:30 下午,12/3/2025 1:00 下午,7300 COPPERMINE DR,Inactive,11765706.08,6975330.347
PD250044397,SHOPLIFTING,Property,12/2/2025 4:27 下午,12/2/2025 4:30 下午,6400 TRADING SQ,Inactive,11726034.41,6982340.814
PD250043923,TRESPASS OF REAL PROPERTY,Quality of Life,12/2/2025 4:05 下午,,14000 RICHMOND HWY,Active,11836714.04,6921921.867
PD250044555,SHOPLIFTING,Property,12/2/2025 3:30 下午,,9400 LIBERIA AVE,Arrest,11782498.19,6958311.579
PD250043882,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,12/2/2025 2:26 下午,,4100 WIDEBRANCH LN,Unfounded,11816006.79,6914505.609
PD250900559,CREDIT CARD/ATM FRAUD,Property,12/2/2025 2:05 下午,12/2/2025 2:05 下午,2400 PRINCE WILLIAM PKWY,Inactive,11829403.63,6923662.961
PD250043846,AGGRAVATED ASSAULT,Violent,12/2/2025 1:40 下午,,11000 BLACKBURN COVE LN,Arrest,11761060.92,6973907.604
PD250043824,BURGLARY,Property,12/2/2025 12:07 下午,,7200 FOSTER LN,Active,11724057.63,6953190.147
PD250044254,INTIMIDATION,Violent,12/2/2025 12:00 下午,,1600 PRINCE WILLIAM PKWY,Exception,11836205.21,6922480.74
PD250044475,IDENTITY THEFT,Property,12/2/2025 11:24 上午,,14000 FULLERTON RD,Active,11817715.65,6920551.033
PD250043909,SIMPLE ASSAULT,Violent,12/2/2025 9:15 上午,,13000 HADDOCK RD,Active,11814213.18,6928714.745
PD250043688,SIMPLE ASSAULT,Violent,12/2/2025 8:30 上午,,10000 UNIVERSITY BLVD,Active,11740833.6,6970666.114
PD250043652,SIMPLE ASSAULT,Violent,12/2/2025 6:44 上午,,Centreville Rd / Falls Grove Dr,Active,11782864.06,6973675.864
PD250043827,AGGRAVATED ASSAULT,Violent,12/2/2025 6:30 上午,12/2/2025 12:59 下午,14000 BELLONA RD,Unfounded,11833881.1,6919374.546
PD250043648,SHOPLIFTING,Property,12/2/2025 3:09 上午,,13000 RICHMOND HWY,Active,11808907.66,6874800.458
PD250043648,SHOPLIFTING,Property,12/2/2025 3:09 上午,,13000 RICHMOND HWY,Active,11808907.66,6874800.458
PD250043798,ALL OTHER LARCENY,Property,12/2/2025 12:00 上午,,7300 WICHITA CT,Inactive,11765590.31,6974597.641
PD250043973,SHOPLIFTING,Property,12/2/2025 12:00 上午,,10000 SUDLEY MANOR DR,Active,11769205.66,6972433.753
PD250044883,IDENTITY THEFT,Property,12/2/2025 12:00 上午,,3100 TULIP TREE PL,Inactive,11824270.2,6892993.595
PD250043639,DRUG/NARCOTIC VIOLATION,Quality of Life,12/1/2025 10:43 下午,,7300 SUDLEY RD,Arrest,11762829.74,6974639.599
PD250043644,SIMPLE ASSAULT,Violent,12/1/2025 10:30 下午,,12000 SEDGE ST,Active,11751036.78,6951214.039
PD250043654,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/1/2025 10:30 下午,12/2/2025 7:30 上午,Allen Dent Rd / John Pary Way,Inactive,11822767.53,6898167.584
PD250043654,THEFT FROM MOTOR VEHICLE,Property,12/1/2025 10:30 下午,12/2/2025 7:30 上午,Allen Dent Rd / John Pary Way,Inactive,11822767.53,6898167.584
PD250043633,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,12/1/2025 9:00 下午,,7400 WILLOUGHBY LN,Inactive,11759980.91,6974173.321
PD250043629,DRUG/NARCOTIC VIOLATION,Quality of Life,12/1/2025 7:50 下午,,16000 ISLIP LOOP,Arrest,11821971.44,6897497.719
PD250043624,THEFT FROM BUILDING,Property,12/1/2025 6:52 下午,,14000 RICHMOND HWY,Inactive,11836714.04,6921921.867
PD250043618,SIMPLE ASSAULT,Violent,12/1/2025 6:30 下午,,2300 MERSEYSIDE DR,Arrest,11830663.81,6913250.259
PD250043619,SHOPLIFTING,Property,12/1/2025 6:17 下午,,4200 CHESHIRE STATION PLZ,Active,11816077.88,6920292.194
PD250043616,SHOPLIFTING,Property,12/1/2025 6:11 下午,12/1/2025 6:12 下午,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043615,SIMPLE ASSAULT,Violent,12/1/2025 6:00 下午,,10000 AUTOMOTIVE DR,Inactive,11763240.29,6975729.43
PD250043617,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/1/2025 6:00 下午,,10000 AUTOMOTIVE DR,Arrest,11763240.29,6975729.43
PD250043605,DRUG/NARCOTIC VIOLATION,Quality of Life,12/1/2025 5:30 下午,,4000 PRINCE WILLIAM PKWY,Arrest,11816751.64,6927624.098
PD250043597,SHOPLIFTING,Property,12/1/2025 4:44 下午,,14000 RICHMOND HWY,Arrest,11836714.04,6921921.867
PD250043603,SHOPLIFTING,Property,12/1/2025 4:17 下午,12/1/2025 4:22 下午,14000 SMOKETOWN RD,Inactive,11825083.62,6920228.059
PD250043594,ALL OTHER LARCENY,Property,12/1/2025 3:44 下午,,6000 PONHILL DR,Inactive,11799494.26,6927162.604
PD250043779,SIMPLE ASSAULT,Violent,12/1/2025 2:30 下午,,15000 WARBLER CT,Exception,11817044.29,6911314.618
PD250043596,SHOPLIFTING,Property,12/1/2025 2:00 下午,,14000 DINING WAY,Active,11828436.27,6915427.116
PD250043571,SIMPLE ASSAULT,Violent,12/1/2025 1:33 下午,,15000 RICHMOND HWY,Active,11832223.33,6913674.3
PD250043569,SHOPLIFTING,Property,12/1/2025 1:12 下午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250043563,SHOPLIFTING,Property,12/1/2025 11:40 上午,,7400 STREAM WALK LN,Active,11761257.97,6974737.862
PD250043606,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,12/1/2025 11:05 上午,,7800 SABRE CT,Active,11761689.68,6971455.875
PD250043552,TRESPASS OF REAL PROPERTY,Quality of Life,12/1/2025 11:00 上午,,1800 REDDY DR,Arrest,11834959.63,6915474.285
PD250043566,STOLEN PROPERTY OFFENSE,Property,12/1/2025 10:43 上午,,Potomac Mills Cir / Worth Ave,Arrest,11827212.19,6920667.166
PD250043567,DRUG/NARCOTIC VIOLATION,Quality of Life,12/1/2025 10:43 上午,,Potomac Mills Cir / Worth Ave,Active,11827212.19,6920667.166
PD250043567,DRUG/NARCOTIC VIOLATION,Quality of Life,12/1/2025 10:43 上午,,Potomac Mills Cir / Worth Ave,Active,11827212.19,6920667.166
PD250043575,ARSON,Property,12/1/2025 10:30 上午,12/1/2025 12:30 下午,6900 BITTERROOT CT,Active,11737435.55,6982291.12
PD250043537,SIMPLE ASSAULT,Violent,12/1/2025 9:46 上午,,3900 WHIPS RUN DR,Arrest,11817130.79,6910044.664
PD250043533,SHOPLIFTING,Property,12/1/2025 9:15 上午,12/1/2025 9:16 上午,18000 FULLER HEIGHTS RD,Inactive,11815984.49,6883903.107
PD250043534,INTIMIDATION,Violent,12/1/2025 5:21 上午,,3400 LYON PARK CT,Active,11820833.16,6937780.687
PD250043836,WELFARE FRAUD,Property,12/1/2025 12:00 上午,,1300 EISENHOWER CIR,Inactive,11837186.09,6923935.748
PD250043510,SIMPLE ASSAULT,Violent,11/30/2025 10:40 下午,,10000 WILD GINGER CIR,Arrest,11761121.93,6972155.27
PD250043602,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,11/30/2025 10:00 下午,12/1/2025 12:00 下午,11000 RAYBORN CREEK DR,Inactive,11753177.6,6963433.942
PD250043586,CREDIT CARD/ATM FRAUD,Property,11/30/2025 9:44 下午,,2700 POTOMAC MILLS CIR,Active,11826041.73,6918486.143
PD250043568,ALL OTHER LARCENY,Property,11/30/2025 9:15 下午,,2700 POTOMAC MILLS CIR,Active,11826041.73,6918486.143
PD250043517,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,11/30/2025 9:00 下午,12/1/2025 4:00 上午,11000 STAGESTONE WAY,Inactive,11759999.75,6971711.964
PD250043504,SIMPLE ASSAULT,Violent,11/30/2025 8:48 下午,,9100 AUTUMN GLORY LN,Inactive,11746208.77,6960385.45
PD250043620,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,11/30/2025 8:00 下午,12/1/2025 7:00 上午,14000 CLOVERDALE RD,Inactive,11818933.9,6914769.915
PD250043494,DRUG/NARCOTIC VIOLATION,Quality of Life,11/30/2025 7:10 下午,,13000 RICHMOND HWY,Arrest,11808907.66,6874800.458
PD250043490,SIMPLE ASSAULT,Violent,11/30/2025 6:30 下午,,5500 NEDDLETON AVE,Arrest,11803723.89,6928889.787
PD250043489,SHOPLIFTING,Property,11/30/2025 6:28 下午,,2400 PRINCE WILLIAM PKWY,Inactive,11829403.63,6923662.961
PD250043492,SIMPLE ASSAULT,Violent,11/30/2025 6:00 下午,,2100 CULPEPER DR,Unfounded,11832654.34,6921872.317
PD250043491,SHOPLIFTING,Property,11/30/2025 5:40 下午,,4100 DALE BLVD,Inactive,11816065.76,6918685.852
PD250043482,DRUG/NARCOTIC VIOLATION,Quality of Life,11/30/2025 5:30 下午,,14000 RICHMOND HWY,Arrest,11836714.04,6921921.867
PD250043481,SIMPLE ASSAULT,Violent,11/30/2025 5:20 下午,,12000 HEDGES RUN DR,Active,11821912.62,6937795.536
PD250043477,SHOPLIFTING,Property,11/30/2025 4:45 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043479,SIMPLE ASSAULT,Violent,11/30/2025 3:56 下午,,14000 ALSACE LN,Arrest,11732357.74,6978623.86
PD250043478,SIMPLE ASSAULT,Violent,11/30/2025 3:00 下午,,5000 MELISSA PL,Inactive,11808792.32,6932089.035
PD250043464,SIMPLE ASSAULT,Violent,11/30/2025 2:45 下午,,8100 LACY DR,Arrest,11760350.79,6969226.954
PD250043461,SHOPLIFTING,Property,11/30/2025 2:00 下午,,9400 LIBERIA AVE,Active,11782498.19,6958311.579
PD250043457,DRUG/NARCOTIC VIOLATION,Quality of Life,11/30/2025 1:45 下午,,7300 WILLIAMSON BLVD,Arrest,11763703.06,6974453.886
PD250043456,SHOPLIFTING,Property,11/30/2025 1:30 下午,,4100 DALE BLVD,Inactive,11816065.76,6918685.852
PD250043454,SIMPLE ASSAULT,Violent,11/30/2025 12:40 下午,,7200 FORKLAND WAY,Active,11729330.06,6975330.314
PD250900548,SHOPLIFTING,Property,11/30/2025 12:30 下午,11/30/2025 12:45 下午,8200 STONEWALL SHOPS SQ,Inactive,11724592.94,6969466.385
PD250043507,SIMPLE ASSAULT,Violent,11/30/2025 10:40 上午,,1300 LONGVIEW DR,Active,11838072.93,6918124.218
PD250043501,SHOPLIFTING,Property,11/30/2025 10:00 上午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250043445,SIMPLE ASSAULT,Violent,11/30/2025 9:45 上午,,16000 TACONIC CIR,Arrest,11815321.72,6903593.466
PD250043437,SIMPLE ASSAULT,Violent,11/30/2025 3:57 上午,,14000 ARIZONA AVE,Arrest,11836262.95,6915389.094
PD250043434,AGGRAVATED ASSAULT,Violent,11/30/2025 3:28 上午,,3200 BERLIN CT,Active,11823561.55,6912120.492
PD250043436,SIMPLE ASSAULT,Violent,11/30/2025 3:27 上午,,14000 ARIZONA AVE,Arrest,11836262.95,6915389.094
PD250043433,SIMPLE ASSAULT,Violent,11/30/2025 2:51 上午,,Richmond Hwy / Dale Blvd,Active,11830646.55,6911540.114
PD250043432,DRUG/NARCOTIC VIOLATION,Quality of Life,11/30/2025 2:10 上午,,Mount Pleasant Dr / Richmond Hwy,Arrest,11838062.96,6922975.55
PD250043430,DRUG/NARCOTIC VIOLATION,Quality of Life,11/30/2025 12:50 上午,,2800 PRINCE WILLIAM PKWY,Arrest,11826341.15,6922642.934
PD250043425,SIMPLE ASSAULT,Violent,11/30/2025 12:22 上午,,15000 BRONCO WAY,Arrest,11822614.44,6910823.959
PD250043427,SIMPLE ASSAULT,Violent,11/30/2025 12:00 上午,,10000 GAMBRIL DR,Active,11761395.89,6968316.249
PD250043424,SIMPLE ASSAULT,Violent,11/29/2025 11:56 下午,,1800 WIGGLESWORTH WAY,Unfounded,11835144.95,6921557.446
PD250043471,MOTOR VEHICLE THEFT,Property,11/29/2025 11:00 下午,11/30/2025 3:00 下午,3700 OLD BRIDGE RD,Inactive,11818846.06,6932892.597
PD250043421,SHOPLIFTING,Property,11/29/2025 10:32 下午,,11000 BULLOCH DR,Arrest,11760973.66,6976855.585
PD250043422,SIMPLE ASSAULT,Violent,11/29/2025 10:08 下午,,14000 CAROLINE ST,Arrest,11833476.99,6919216.477
PD250043455,MOTOR VEHICLE THEFT,Property,11/29/2025 10:00 下午,11/30/2025 10:50 上午,1400 BAYSIDE AVE,Arrest,11837299.89,6921048.205
PD250043418,SIMPLE ASSAULT,Violent,11/29/2025 9:22 下午,,14000 BROOK DR,Arrest,11822104.61,6917242.991
PD250043415,COUNTERFEITING/FORGERY,Property,11/29/2025 9:00 下午,,2800 PRINCE WILLIAM PKWY,Inactive,11826341.15,6922642.934
PD250043591,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,11/29/2025 9:00 下午,,10000 BALLS FORD RD,Inactive,11768633.21,6978470.228
PD250043403,SHOPLIFTING,Property,11/29/2025 8:07 下午,,2700 POTOMAC MILLS CIR,Active,11826041.73,6918486.143
PD250043538,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,11/29/2025 8:00 下午,12/1/2025 9:00 上午,1700 GROVER GLEN CT,Inactive,11835274.16,6929337.287
PD250043406,SIMPLE ASSAULT,Violent,11/29/2025 7:30 下午,,8000 GATEWAY PROMENADE PL,Unfounded,11737635.22,6971073.736
PD250043622,MOTOR VEHICLE THEFT,Property,11/29/2025 7:30 下午,,8100 CENTREVILLE RD,Active,11782054.46,6968897.14
PD250043470,WELFARE FRAUD,Property,11/29/2025 7:21 下午,,14000 BUILD AMERICA DR,Inactive,11833827,6915829.974
PD250043401,AGGRAVATED ASSAULT,Violent,11/29/2025 6:49 下午,,15000 BRAZIL CIR,Active,11821841.74,6912564.05
PD250043396,SIMPLE ASSAULT,Violent,11/29/2025 6:07 下午,,7400 MIRAMAR DR,Arrest,11762287.52,6974114.444
PD250043395,SIMPLE ASSAULT,Violent,11/29/2025 6:04 下午,,8000 ASHLAND AVE,Arrest,11766775.83,6969936.435
PD250043570,SHOPLIFTING,Property,11/29/2025 6:00 下午,,2200 OLD BRIDGE RD,Active,11831030.99,6932398.073
PD250043389,PURSE-SNATCHING,Property,11/29/2025 5:09 下午,,4300 DALE BLVD,Unfounded,11814755.27,6920721.46
PD250043385,SIMPLE ASSAULT,Violent,11/29/2025 4:51 下午,,13000 HOLLOW WIND WAY,Inactive,11834454.03,6922833.604
PD250043447,SHOPLIFTING,Property,11/29/2025 4:30 下午,,13000 GATEWAY CENTER DR,Exception,11738631.13,6973200.128
PD250043382,SIMPLE ASSAULT,Violent,11/29/2025 4:15 下午,,3700 FAIRFIELD LN,Arrest,11819323.87,6921042.226
PD250043419,SHOPLIFTING,Property,11/29/2025 3:56 下午,,9900 SOWDER VILLAGE SQ,Active,11758601.1,6953667.565
PD250043377,THEFT FROM BUILDING,Property,11/29/2025 3:30 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043388,SIMPLE ASSAULT,Violent,11/29/2025 3:30 下午,,15000 PAYNES FARM DR,Active,11722009.92,6989879.97
PD250043380,SHOPLIFTING,Property,11/29/2025 3:20 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043542,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,11/29/2025 1:20 下午,,13000 SMOKETOWN RD,Active,11821708.79,6929517.134
PD250043370,AGGRAVATED ASSAULT,Violent,11/29/2025 1:09 下午,,14000 HARO TRL,Unfounded,11735876.96,6977906.405
PD250043371,SHOPLIFTING,Property,11/29/2025 1:01 下午,,14000 SMOKETOWN RD,Inactive,11825083.62,6920228.059
PD250043544,INTIMIDATION,Violent,11/29/2025 1:00 下午,,7700 DUBLIN DR,Active,11772332.06,6971924.025
PD250900544,ALL OTHER LARCENY,Property,11/29/2025 12:50 下午,11/29/2025 4:45 下午,8500 DALTONS GROVE WAY,Inactive,11748734.56,6965135.839
PD250043366,SIMPLE ASSAULT,Violent,11/29/2025 12:30 下午,,2700 CELESTIAL DR,Arrest,11827373.96,6902917.857
PD250043356,SHOPLIFTING,Property,11/29/2025 9:56 上午,,14000 RICHMOND HWY,Inactive,11836714.04,6921921.867
PD250043355,SIMPLE ASSAULT,Violent,11/29/2025 9:20 上午,,12000 MANCHESTER WAY,Active,11815720.17,6934307.97
PD250043346,SIMPLE ASSAULT,Violent,11/29/2025 4:07 上午,,14000 DANVILLE RD,Unfounded,11817317.27,6916144.686
PD250043344,SIMPLE ASSAULT,Violent,11/29/2025 3:52 上午,,14000 TELEGRAPH RD,Arrest,11828466.91,6921607.155
PD250043334,SIMPLE ASSAULT,Violent,11/29/2025 1:45 上午,,15000 POSTILLION TER,Arrest,11835053.92,6911157.996
PD250043340,SIMPLE ASSAULT,Violent,11/29/2025 1:28 上午,,13000 WILDWOOD CT,Active,11835231.72,6926598.958
PD250043335,DRUG/NARCOTIC VIOLATION,Quality of Life,11/29/2025 1:28 上午,,13000 WILDWOOD CT,Arrest,11835231.72,6926598.958
PD250043341,ARSON,Property,11/29/2025 1:28 上午,,13000 WILDWOOD CT,Active,11835231.72,6926598.958
PD250043394,DRUG/NARCOTIC VIOLATION,Quality of Life,11/29/2025 12:00 上午,,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250043592,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,11/29/2025 12:00 上午,,10000 BALLS FORD RD,Inactive,11768633.21,6978470.228
PD250043609,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,11/29/2025 12:00 上午,12/1/2025 11:00 上午,14000 ALSACE LN,Active,11732357.74,6978623.86
PD250900551,ALL OTHER LARCENY,Property,11/28/2025 11:00 下午,11/29/2025 8:00 上午,16000 THOROUGHFARE RD,Inactive,11719961.45,6974924.022
PD250043326,AGGRAVATED ASSAULT,Violent,11/28/2025 10:51 下午,,1800 CEDAR COVE WAY,Active,11834471.97,6922829.519
PD250043358,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,11/28/2025 10:26 下午,,2100 ABBOTTSBURY WAY,Active,11831351.85,6912788.275
PD250043316,DRIVING UNDER THE INFLUENCE,Quality of Life,11/28/2025 8:53 下午,,Prince William Pkwy / Golansky Blvd,Arrest,11821788.51,6921134.34
PD250043323,SIMPLE ASSAULT,Violent,11/28/2025 8:50 下午,,14000 VIRGINIA CEDAR CT,Arrest,11738300.52,6991489.928
PD250043318,SHOPLIFTING,Property,11/28/2025 8:23 下午,,10000 PORTSMOUTH RD,Inactive,11768269.79,6969421.395
PD250043305,SHOPLIFTING,Property,11/28/2025 7:00 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043417,SIMPLE ASSAULT,Violent,11/28/2025 7:00 下午,,1500 FEATHERSTONE RD,Inactive,11837262.24,6915697.927
PD250043300,AGGRAVATED ASSAULT,Violent,11/28/2025 5:38 下午,,1800 BEL AIR RD,Active,11835002.14,6919040.274
PD250043580,THEFT FROM MOTOR VEHICLE,Property,11/28/2025 5:00 下午,11/29/2025 1:00 下午,8000 JULIET LN,Inactive,11758955.66,6969471.821
PD250043292,SHOPLIFTING,Property,11/28/2025 3:41 下午,,2700 POTOMAC MILLS CIR,Active,11826041.73,6918486.143
PD250043363,SHOPLIFTING,Property,11/28/2025 1:30 下午,11/29/2025 11:56 上午,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043285,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,11/28/2025 1:28 下午,,4300 FORTUNA CENTER PLZ,Arrest,11816257.04,6902983.055
PD250043611,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,11/28/2025 12:00 下午,11/29/2025 10:00 上午,11000 CAISSON CT,Inactive,11807586.75,6943566.394
PD250043277,ROBBERY,Property,11/28/2025 11:33 上午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250043279,SIMPLE ASSAULT,Violent,11/28/2025 11:02 上午,,13000 BRIERLY FOREST CT,Arrest,11802713.34,6929974.514
PD250043269,SHOPLIFTING,Property,11/28/2025 9:53 上午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250043251,SIMPLE ASSAULT,Violent,11/28/2025 6:38 上午,,12000 KINGSWELL DR,Arrest,11811872.27,6930730.26
PD250043248,TRESPASS OF REAL PROPERTY,Quality of Life,11/28/2025 3:40 上午,11/28/2025 3:45 上午,2400 NEABSCO STREAM DR,Active,11829715.95,6916324.862
PD250043246,SIMPLE ASSAULT,Violent,11/28/2025 3:00 上午,,8100 DICKINSON CT,Active,11784368.61,6957036.008
PD250043247,SIMPLE ASSAULT,Violent,11/28/2025 2:46 上午,,16000 FERN PL,Arrest,11826329.91,6900823.593
PD250043282,THEFT FROM MOTOR VEHICLE,Property,11/28/2025 1:42 上午,11/28/2025 1:42 上午,14000 FEATHERSTONE GATE DR,Inactive,11835128.76,6917103.557
PD250043264,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,11/28/2025 1:32 上午,,13000 RICHMOND HWY,Active,11808907.66,6874800.458
PD250043243,SIMPLE ASSAULT,Violent,11/28/2025 12:42 上午,,14000 SAVANNAH DR,Inactive,11810839.58,6920299.089
PD250043244,AGGRAVATED ASSAULT,Violent,11/28/2025 12:30 上午,,4100 BELWOOD LN,Arrest,11815696.53,6913076.078
PD250043245,SIMPLE ASSAULT,Violent,11/28/2025 12:30 上午,,4100 BELWOOD LN,Arrest,11815696.53,6913076.078
PD250043293,SHOPLIFTING,Property,11/28/2025 12:00 上午,,2400 PRINCE WILLIAM PKWY,Inactive,11829403.63,6923662.961
PD250043601,THEFT FROM MOTOR VEHICLE,Property,11/28/2025 12:00 上午,12/1/2025 3:00 下午,13000 QUATE LN,Active,11808342.05,6927397.837
