CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250002701,THEFT FROM MOTOR VEHICLE,Property,1/24/2025 7:30 下午,1/25/2025 9:00 上午,Patrick Henry Drive / Powell's Creek Blvd,Inactive,11826930,6900480.506
PD250002655,ROBBERY,Property,1/24/2025 7:02 下午,,14000 NOBLEWOOD PLZ,Arrest,11821396.16,6922470.489
PD250002654,SHOPLIFTING,Property,1/24/2025 6:41 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250002653,SIMPLE ASSAULT,Violent,1/24/2025 6:05 下午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250002691,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/24/2025 5:00 下午,1/25/2025 9:00 上午,8200 SPRUCE ST,Inactive,11783501.89,6969546.156
PD250002719,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/24/2025 4:51 下午,,14000 NEWBERN LOOP,Arrest,11734846.71,6979225.104
PD250002647,SIMPLE ASSAULT,Violent,1/24/2025 4:42 下午,,9400 OLD SETTLE CT,Unfounded,11773848.4,6946697.958
PD250002872,THEFT FROM MOTOR VEHICLE,Property,1/24/2025 4:30 下午,1/27/2025 5:00 上午,9300 INDUSTRIAL CT,Inactive,11755496.45,6959088.299
PD250002635,SHOPLIFTING,Property,1/24/2025 4:23 下午,,14000 RICHMOND HWY,Inactive,11836714.04,6921921.867
PD250003435,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/24/2025 3:22 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250002633,SHOPLIFTING,Property,1/24/2025 3:18 下午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250002637,MOTOR VEHICLE THEFT,Property,1/24/2025 3:15 下午,1/24/2025 4:15 下午,7500 THURSTON LN,Inactive,11781598.07,6974053.702
PD250003302,SHOPLIFTING,Property,1/24/2025 3:02 下午,,13000 GATEWAY CENTER DR,Arrest,11738631.13,6973200.128
PD250002950,THEFT FROM BUILDING,Property,1/24/2025 3:00 下午,,12000 ODION LN,Inactive,11811129.93,6930104.95
PD250002631,SHOPLIFTING,Property,1/24/2025 2:28 下午,,14000 SMOKETOWN RD,Inactive,11825083.62,6920228.059
PD250004023,SHOPLIFTING,Property,1/24/2025 12:51 下午,,4000 PRINCE WILLIAM PKWY,Inactive,11816751.64,6927624.098
PD250002616,SHOPLIFTING,Property,1/24/2025 12:38 下午,,14000 DINING WAY,Arrest,11828436.27,6915427.116
PD250002615,SHOPLIFTING,Property,1/24/2025 11:48 上午,,4000 PRINCE WILLIAM PKWY,Arrest,11816751.64,6927624.098
PD250002607,INTIMIDATION,Violent,1/24/2025 11:19 上午,,7400 HOADLY RD,Exception,11789232.28,6925130.333
PD250005398,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/24/2025 11:13 上午,,1900 DANIEL STUART SQ,Exception,11833124.73,6915128.753
